transaction_id,customer_id,transaction_amount,payment_method,failure_type,customer_segment,previous_failures,customer_lifetime_value,days_since_last_purchase,retry_count,account_age_days,website_visits_last_30_days,cart_additions_last_30_days,recovery_probability,recovered,recovered_revenue,recovery_method,severity_score
TXN100001,CUST11824,1514.54,credit_card,network_error,regular,2,7254.58,115,1,1538,1,3,0.68,0,0.0,smart_retry,64
TXN100002,CUST11679,808.23,wallet,card_declined,regular,0,12507.05,17,0,221,3,0,0.465,1,808.23,smart_retry,50
TXN100003,CUST13811,830.29,wallet,authentication_failed,premium,1,4474.16,102,4,889,4,1,0.49,0,0.0,customer_outreach,76
TXN100004,CUST13611,742.36,net_banking,authentication_failed,regular,0,17291.18,4,1,1459,3,0,0.455,1,742.36,customer_outreach,54
TXN100005,CUST16924,1871.8,upi,expired_card,regular,1,3051.31,173,0,219,8,0,0.635,1,1871.8,alternative_payment,55
TXN100006,CUST16224,569.12,credit_card,expired_card,new,0,2283.27,310,2,1682,4,1,0.585,0,0.0,alternative_payment,58
TXN100007,CUST10711,706.27,net_banking,authentication_failed,premium,0,13218.08,194,0,1160,5,0,0.675,0,0.0,customer_outreach,55
TXN100008,CUST14803,411.46,wallet,expired_card,regular,0,19530.21,361,0,123,6,2,0.69,0,0.0,alternative_payment,50
TXN100009,CUST13733,9818.19,upi,card_declined,new,1,3880.38,52,3,599,1,1,0.335,0,0.0,customer_outreach,67
TXN100010,CUST15977,950.71,debit_card,expired_card,regular,2,10782.61,344,2,1467,2,4,0.53,1,950.71,alternative_payment,68
TXN100011,CUST11169,1168.06,wallet,network_error,regular,2,17587.01,126,1,976,2,2,0.67,1,1168.06,smart_retry,64
TXN100012,CUST16216,437.03,upi,network_error,regular,0,5787.66,113,2,1756,5,2,0.745,1,437.03,smart_retry,58
TXN100013,CUST10916,546.13,debit_card,card_declined,new,0,3662.61,206,2,165,2,0,0.4,1,546.13,smart_retry,58
TXN100014,CUST19292,754.79,upi,insufficient_funds,regular,2,5783.71,203,3,322,6,1,0.325,1,754.79,customer_outreach,72
TXN100015,CUST12287,576.03,debit_card,network_error,regular,0,5151.08,135,4,907,2,1,0.595,0,0.0,smart_retry,66
TXN100016,CUST19560,1554.05,net_banking,expired_card,regular,2,3898.11,71,4,1040,4,2,0.43,0,0.0,alternative_payment,76
TXN100017,CUST11489,888.1,credit_card,card_declined,regular,3,6872.66,82,3,1251,6,0,0.285,1,888.1,human_escalation,77
TXN100018,CUST11040,1326.76,net_banking,gateway_error,regular,0,4575.72,240,4,544,4,1,0.625,1,1326.76,smart_retry,66
TXN100019,CUST19064,1808.92,credit_card,network_error,new,3,22352.91,350,4,1567,4,3,0.6,1,1808.92,smart_retry,81
TXN100020,CUST14371,439.59,upi,card_declined,regular,1,7882.31,81,3,36,1,0,0.28,1,439.59,human_escalation,67
TXN100021,CUST14315,1011.63,wallet,insufficient_funds,regular,3,14651.13,55,2,1753,3,2,0.31,0,0.0,payment_plan,73
TXN100022,CUST12504,1274.26,upi,insufficient_funds,regular,1,4242.26,272,0,1256,6,4,0.555,1,1274.26,customer_outreach,55
TXN100023,CUST18005,1589.35,credit_card,card_declined,at_risk,3,20099.55,158,1,148,3,1,0.195,0,0.0,human_escalation,69
TXN100024,CUST13946,837.61,wallet,card_declined,premium,0,8640.01,249,0,1587,4,0,0.63,1,837.61,customer_outreach,55
TXN100025,CUST18727,5181.62,debit_card,insufficient_funds,regular,3,35409.34,282,1,572,4,0,0.315,1,5181.62,customer_outreach,69
TXN100026,CUST13470,1522.7,wallet,network_error,regular,1,16197.37,160,3,1405,3,1,0.615,0,0.0,smart_retry,67
TXN100027,CUST16118,1401.42,net_banking,authentication_failed,regular,1,30366.06,127,1,161,3,0,0.42,0,0.0,customer_outreach,59
TXN100028,CUST15539,939.83,credit_card,authentication_failed,regular,0,36228.61,302,1,44,3,1,0.48,1,939.83,customer_outreach,54
TXN100029,CUST11163,1008.82,credit_card,insufficient_funds,premium,2,5582.93,17,2,175,2,1,0.455,1,1008.82,payment_plan,73
TXN100030,CUST14562,1180.61,net_banking,insufficient_funds,regular,1,13762.52,293,4,998,6,0,0.295,0,0.0,payment_plan,71
TXN100031,CUST17749,799.37,net_banking,insufficient_funds,premium,1,9567.03,338,3,755,2,0,0.425,1,799.37,customer_outreach,72
TXN100032,CUST16735,1967.93,net_banking,network_error,premium,2,10361.37,335,0,154,5,1,0.88,0,0.0,smart_retry,65
TXN100033,CUST16596,951.94,upi,card_declined,regular,2,19516.62,98,4,948,6,1,0.305,0,0.0,smart_retry,76
TXN100034,CUST16912,3800.95,debit_card,expired_card,regular,1,18999.76,39,3,1684,5,1,0.495,1,3800.95,alternative_payment,67
TXN100035,CUST19016,2066.95,credit_card,card_declined,regular,1,7203.73,277,0,221,3,0,0.43,1,2066.95,smart_retry,55
TXN100036,CUST12724,807.4,net_banking,gateway_error,regular,0,9756.02,206,0,367,8,2,0.87,0,0.0,smart_retry,50
TXN100037,CUST16209,1083.16,credit_card,gateway_error,regular,0,3633.59,233,2,896,2,0,0.65,1,1083.16,smart_retry,58
TXN100038,CUST19105,1536.98,net_banking,insufficient_funds,regular,2,27617.12,112,0,1216,3,1,0.4,1,1536.98,payment_plan,60
TXN100039,CUST15138,1268.59,credit_card,card_declined,regular,0,8185.13,258,4,352,9,0,0.395,1,1268.59,smart_retry,66
TXN100040,CUST18320,1020.34,credit_card,insufficient_funds,premium,1,17695.18,35,1,856,3,0,0.52,0,0.0,payment_plan,64
TXN100041,CUST19333,316.32,debit_card,authentication_failed,regular,2,10828.98,318,0,888,8,0,0.5,0,0.0,customer_outreach,60
TXN100042,CUST19562,1328.84,wallet,authentication_failed,regular,3,3368.16,134,1,1401,3,5,0.45,1,1328.84,customer_outreach,69
TXN100043,CUST15147,818.49,debit_card,expired_card,regular,1,13336.77,344,2,966,6,1,0.55,0,0.0,alternative_payment,63
TXN100044,CUST15180,2360.3,credit_card,card_declined,regular,2,8552.81,289,0,180,2,2,0.43,0,0.0,alternative_payment,60
TXN100045,CUST13492,2181.95,wallet,expired_card,premium,1,1984.27,179,0,1830,8,2,0.795,1,2181.95,alternative_payment,60
TXN100046,CUST14002,1092.22,upi,expired_card,regular,1,11186.86,279,2,1282,1,0,0.45,0,0.0,alternative_payment,63
TXN100047,CUST18666,536.03,credit_card,network_error,new,2,11969.76,154,0,1952,3,0,0.705,1,536.03,smart_retry,60
TXN100048,CUST12200,1022.93,upi,card_declined,new,0,3539.73,284,1,587,3,2,0.505,0,0.0,customer_outreach,54
TXN100049,CUST19909,1907.18,debit_card,network_error,regular,1,4933.03,352,2,1065,4,1,0.67,1,1907.18,smart_retry,63
TXN100050,CUST18004,1907.24,upi,card_declined,premium,2,3676.26,217,2,120,3,0,0.465,0,0.0,customer_outreach,73
TXN100051,CUST10058,720.34,upi,insufficient_funds,regular,0,3411.0,135,1,1548,5,1,0.46,1,720.34,customer_outreach,54
TXN100052,CUST19038,558.8,net_banking,authentication_failed,premium,0,6958.57,39,1,1147,6,0,0.65,1,558.8,customer_outreach,59
TXN100053,CUST10590,718.44,upi,authentication_failed,regular,0,5487.89,221,1,115,3,1,0.48,1,718.44,customer_outreach,54
TXN100054,CUST15050,938.88,upi,card_declined,new,3,3920.4,108,1,1395,5,1,0.405,0,0.0,smart_retry,69
TXN100055,CUST15794,1315.33,wallet,gateway_error,at_risk,0,904.37,80,1,1800,3,0,0.515,1,1315.33,smart_retry,54
TXN100056,CUST12662,717.88,debit_card,gateway_error,premium,1,8416.24,171,3,1672,3,0,0.74,1,717.88,smart_retry,72
TXN100057,CUST14065,1547.46,upi,insufficient_funds,new,1,25674.53,56,3,1816,7,0,0.38,1,1547.46,payment_plan,67
TXN100058,CUST17711,2342.7,debit_card,insufficient_funds,new,0,9932.19,236,2,655,3,2,0.445,0,0.0,payment_plan,58
TXN100059,CUST13652,919.99,credit_card,network_error,regular,2,17293.63,169,2,1800,4,1,0.635,1,919.99,smart_retry,68
TXN100060,CUST11137,1278.13,upi,expired_card,regular,0,15013.31,205,4,708,5,3,0.54,1,1278.13,alternative_payment,66
TXN100061,CUST10452,1881.3,credit_card,expired_card,regular,0,4085.23,136,0,252,5,1,0.65,1,1881.3,alternative_payment,50
TXN100062,CUST19774,821.56,net_banking,expired_card,new,0,10958.17,161,3,1271,6,0,0.55,0,0.0,alternative_payment,62
TXN100063,CUST18379,345.1,credit_card,gateway_error,new,2,26818.18,98,2,120,3,3,0.7,0,0.0,smart_retry,68
TXN100064,CUST17144,656.02,credit_card,authentication_failed,at_risk,2,11815.58,276,1,775,7,3,0.37,0,0.0,customer_outreach,64
TXN100065,CUST17066,989.59,credit_card,network_error,at_risk,1,5758.86,320,2,1388,5,1,0.535,1,989.59,smart_retry,63
TXN100066,CUST12041,527.67,upi,authentication_failed,regular,0,7192.33,210,2,854,6,1,0.485,1,527.67,customer_outreach,58
TXN100067,CUST14844,920.78,wallet,insufficient_funds,regular,0,3343.52,341,3,1417,4,0,0.34,1,920.78,payment_plan,62
TXN100068,CUST19324,755.3,upi,gateway_error,regular,0,5231.81,1,2,617,2,1,0.675,1,755.3,smart_retry,58
TXN100069,CUST13443,284.02,net_banking,authentication_failed,regular,1,3003.36,165,3,934,4,1,0.38,0,0.0,customer_outreach,67
TXN100070,CUST17244,1503.36,debit_card,authentication_failed,regular,1,4367.15,87,0,611,3,0,0.46,1,1503.36,customer_outreach,55
TXN100071,CUST18445,1518.25,wallet,expired_card,premium,0,3489.08,121,2,490,2,2,0.7,1,1518.25,alternative_payment,63
TXN100072,CUST13262,715.37,debit_card,card_declined,premium,1,3828.07,244,4,1770,1,0,0.39,0,0.0,customer_outreach,76
TXN100073,CUST11193,370.42,net_banking,gateway_error,new,2,33247.99,295,1,1501,3,1,0.69,1,370.42,smart_retry,64
TXN100074,CUST16291,350.81,net_banking,gateway_error,regular,2,5239.92,336,0,1858,5,0,0.705,1,350.81,smart_retry,60
TXN100075,CUST11746,456.54,net_banking,insufficient_funds,regular,0,14685.43,357,4,981,5,1,0.34,0,0.0,payment_plan,66
TXN100076,CUST19132,1429.91,debit_card,card_declined,regular,2,2075.45,238,4,1174,0,0,0.19,1,1429.91,human_escalation,76
TXN100077,CUST19755,1295.2,upi,gateway_error,regular,2,17785.75,259,3,1731,4,0,0.57,0,0.0,smart_retry,72
TXN100078,CUST18976,1238.18,net_banking,insufficient_funds,new,0,4427.96,244,3,560,4,1,0.395,1,1238.18,payment_plan,62
TXN100079,CUST14543,1166.73,wallet,gateway_error,regular,0,9350.91,141,3,188,1,1,0.62,1,1166.73,smart_retry,62
TXN100080,CUST14681,365.69,debit_card,expired_card,regular,1,17848.91,277,0,313,4,0,0.575,0,0.0,alternative_payment,55
TXN100081,CUST12471,1654.19,debit_card,gateway_error,regular,0,17642.1,362,1,161,3,0,0.705,0,0.0,smart_retry,54
TXN100082,CUST16797,465.18,net_banking,expired_card,regular,3,6761.53,213,0,453,5,2,0.57,0,0.0,alternative_payment,65
TXN100083,CUST16883,1866.86,net_banking,authentication_failed,at_risk,0,9018.9,11,4,809,9,0,0.275,0,0.0,customer_outreach,66
TXN100084,CUST17814,826.81,credit_card,expired_card,regular,0,6327.51,200,3,1132,3,0,0.475,1,826.81,alternative_payment,62
TXN100085,CUST18947,718.47,wallet,insufficient_funds,regular,3,18673.05,140,3,1024,2,3,0.28,1,718.47,payment_plan,77
TXN100086,CUST16371,2428.58,upi,network_error,regular,1,4690.31,208,1,1751,7,0,0.73,1,2428.58,smart_retry,59
TXN100087,CUST17657,570.22,debit_card,authentication_failed,regular,0,3495.64,202,4,1185,1,2,0.355,1,570.22,customer_outreach,66
TXN100088,CUST10444,2079.35,credit_card,network_error,regular,2,6828.15,237,1,132,5,1,0.69,1,2079.35,smart_retry,64
TXN100089,CUST14262,731.4,net_banking,expired_card,regular,1,5195.86,168,2,1588,5,1,0.535,0,0.0,alternative_payment,63
TXN100090,CUST16211,1371.08,upi,gateway_error,regular,0,5995.46,42,3,69,4,1,0.665,1,1371.08,smart_retry,62
TXN100091,CUST18837,1320.56,credit_card,expired_card,regular,2,10588.94,36,0,1574,4,0,0.54,1,1320.56,alternative_payment,60
TXN100092,CUST10508,783.33,debit_card,insufficient_funds,new,2,9691.75,319,1,518,5,4,0.495,1,783.33,payment_plan,64
TXN100093,CUST17758,1520.16,credit_card,authentication_failed,at_risk,3,16090.06,239,2,1600,4,0,0.175,0,0.0,customer_outreach,73
TXN100094,CUST16043,1393.59,debit_card,authentication_failed,regular,2,5915.49,59,1,667,5,2,0.465,1,1393.59,customer_outreach,64
TXN100095,CUST11771,1555.75,wallet,card_declined,at_risk,1,8419.98,295,3,842,4,0,0.175,0,0.0,human_escalation,67
TXN100096,CUST13249,1195.63,credit_card,authentication_failed,regular,1,4628.11,322,1,238,5,1,0.475,0,0.0,customer_outreach,59
TXN100097,CUST14941,1007.09,wallet,card_declined,new,2,1590.51,290,0,741,4,2,0.45,0,0.0,alternative_payment,60
TXN100098,CUST17018,2273.79,upi,card_declined,regular,0,23119.58,175,0,1769,5,1,0.52,0,0.0,customer_outreach,50
TXN100099,CUST18031,1965.75,credit_card,gateway_error,at_risk,0,6868.81,326,3,1478,1,1,0.47,1,1965.75,smart_retry,62
TXN100100,CUST12506,1523.21,net_banking,insufficient_funds,new,0,7917.73,334,2,1291,7,3,0.53,1,1523.21,customer_outreach,58
TXN100101,CUST17616,1399.31,net_banking,network_error,regular,1,4420.82,166,1,1731,3,1,0.695,1,1399.31,smart_retry,59
TXN100102,CUST11419,817.3,upi,gateway_error,regular,1,1165.49,238,4,1279,4,0,0.525,1,817.3,smart_retry,71
TXN100103,CUST16209,5225.56,upi,card_declined,regular,2,7957.88,167,1,1028,2,0,0.34,0,0.0,smart_retry,64
TXN100104,CUST15813,976.18,upi,expired_card,regular,0,4512.01,306,2,1168,4,0,0.53,0,0.0,alternative_payment,58
TXN100105,CUST10166,3560.97,wallet,insufficient_funds,premium,3,10789.63,209,3,1167,5,1,0.425,1,3560.97,payment_plan,82
TXN100106,CUST17800,718.08,net_banking,gateway_error,new,1,5502.13,48,2,483,5,2,0.74,0,0.0,smart_retry,63
TXN100107,CUST16625,1124.06,debit_card,expired_card,regular,0,8919.77,189,3,1163,2,0,0.46,0,0.0,alternative_payment,62
TXN100108,CUST18698,1421.54,upi,gateway_error,at_risk,2,13599.07,282,2,750,2,2,0.48,1,1421.54,smart_retry,68
TXN100109,CUST17434,2210.87,upi,expired_card,regular,2,7857.26,62,1,676,6,2,0.58,1,2210.87,alternative_payment,64
TXN100110,CUST11958,1078.57,wallet,network_error,regular,0,20706.09,111,3,596,5,2,0.705,1,1078.57,smart_retry,62
TXN100111,CUST19659,2253.0,wallet,authentication_failed,regular,0,4598.74,52,1,636,3,0,0.455,0,0.0,customer_outreach,54
TXN100112,CUST13727,2095.55,upi,insufficient_funds,regular,1,5458.86,363,4,289,3,0,0.25,0,0.0,customer_outreach,71
TXN100113,CUST10745,889.75,credit_card,authentication_failed,regular,4,42676.27,65,3,240,2,2,0.27,0,0.0,customer_outreach,82
TXN100114,CUST10200,1765.55,wallet,expired_card,regular,1,7596.38,226,2,407,1,2,0.5,0,0.0,alternative_payment,63
TXN100115,CUST10841,1989.45,upi,gateway_error,premium,1,10691.36,34,3,1037,3,0,0.74,1,1989.45,smart_retry,72
TXN100116,CUST11213,1633.21,wallet,network_error,regular,1,3488.64,78,1,1691,7,1,0.755,0,0.0,smart_retry,59
TXN100117,CUST19221,819.1,upi,card_declined,at_risk,3,8552.67,61,4,1595,3,2,0.1,1,819.1,human_escalation,81
TXN100118,CUST16818,2107.68,wallet,authentication_failed,new,3,6621.62,116,4,809,7,0,0.32,0,0.0,customer_outreach,81
TXN100119,CUST17381,477.84,net_banking,expired_card,new,1,2175.49,220,2,1194,3,0,0.51,0,0.0,alternative_payment,63
TXN100120,CUST10986,2226.71,wallet,network_error,premium,1,27644.51,107,1,571,3,0,0.82,1,2226.71,smart_retry,64
TXN100121,CUST11330,2805.96,debit_card,insufficient_funds,regular,2,1883.23,39,1,35,3,0,0.295,0,0.0,customer_outreach,64
TXN100122,CUST17381,1795.98,wallet,gateway_error,regular,0,10147.2,119,2,1477,4,1,0.705,1,1795.98,smart_retry,58
TXN100123,CUST14632,2061.29,net_banking,card_declined,regular,1,4944.56,136,4,1384,4,0,0.285,0,0.0,human_escalation,71
TXN100124,CUST13241,1174.38,net_banking,card_declined,regular,1,2787.16,332,1,1890,6,2,0.485,1,1174.38,customer_outreach,59
TXN100125,CUST12330,911.82,credit_card,card_declined,regular,0,11169.63,158,4,1563,5,1,0.36,1,911.82,alternative_payment,66
TXN100126,CUST14728,3578.58,net_banking,card_declined,regular,0,4177.4,156,3,1960,5,0,0.375,0,0.0,customer_outreach,62
TXN100127,CUST18199,1128.31,wallet,gateway_error,regular,2,7204.05,307,0,1851,4,1,0.715,1,1128.31,smart_retry,60
TXN100128,CUST17078,2068.65,upi,authentication_failed,regular,1,19599.11,47,1,1999,3,0,0.42,0,0.0,customer_outreach,59
TXN100129,CUST19424,536.19,wallet,card_declined,at_risk,1,4586.91,345,2,1210,3,2,0.25,0,0.0,human_escalation,63
TXN100130,CUST10659,511.74,debit_card,gateway_error,regular,3,3020.64,227,2,401,3,1,0.585,0,0.0,smart_retry,73
