transaction_id,transaction_amount,payment_method,failure_type,customer_segment,failure_category,severity_score,risk_score,risk_level,priority,initial_handling,recovery_probability,ai_strategy,expected_revenue,strategy_cost,expected_net_value,strategy_reason,message_subject,message_body,message_tone,generation_method,actual_recovered,actual_recovered_revenue
TXN100001,1514.54,credit_card,network_error,regular,technical,41,28,LOW,MEDIUM,smart_retry,0.6781,smart_retry,1143.27,5,1138.27,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹1,514.54 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100002,808.23,wallet,card_declined,regular,payment_decline,60,0,LOW,MEDIUM,alternative_payment,0.4678,smart_retry,459.62,5,454.62,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹808.23 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,808.23
TXN100003,830.29,wallet,authentication_failed,premium,authentication_issue,91,32,LOW,HIGH,customer_outreach,0.5016,customer_outreach,522.22,15,507.22,Send personalized payment recovery communication.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹830.29 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please review your payment details and complete the payment.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,0,0.0
TXN100004,742.36,net_banking,authentication_failed,regular,authentication_issue,73,8,LOW,HIGH,customer_outreach,0.582,smart_retry,473.03,5,468.03,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹742.36 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,742.36
TXN100005,1871.8,upi,expired_card,regular,payment_method_issue,59,10,LOW,MEDIUM,customer_outreach,0.604,alternative_payment,1299.78,10,1289.78,Ask the customer to use another payment method.,Update your payment method to continue,"Hello,

We noticed that your recent payment of
₹1,871.80 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1871.8
TXN100006,569.12,credit_card,expired_card,new,payment_method_issue,61,16,LOW,MEDIUM,customer_outreach,0.5595,alternative_payment,380.0,10,370.0,Ask the customer to use another payment method.,Update your payment method to continue,"Welcome,

We noticed that your recent payment of
₹569.12 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,0,0.0
TXN100007,706.27,net_banking,authentication_failed,premium,authentication_issue,75,0,LOW,HIGH,customer_outreach,0.7414,customer_outreach,545.83,15,530.83,Send personalized payment recovery communication.,Personal assistance needed to complete your payment,"Hello, valued customer,

We noticed that your recent payment of
₹706.27 could not be completed.

The payment could not be authenticated.

We'd like to help you complete your
purchase with minimal interruption.

Please review your payment details and complete the payment.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","professional, personalized and concierge-style",template,0,0.0
TXN100008,411.46,wallet,expired_card,regular,payment_method_issue,55,0,LOW,MEDIUM,customer_outreach,0.6628,alternative_payment,300.23,10,290.23,Ask the customer to use another payment method.,Update your payment method to continue,"Hello,

We noticed that your recent payment of
₹411.46 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100009,9818.19,upi,card_declined,new,payment_decline,73,34,LOW,HIGH,alternative_payment,0.3557,smart_retry,4923.04,5,4918.04,Retry the payment using optimized timing.,Action needed to complete your payment,"Welcome,

We noticed that your recent payment of
₹9,818.19 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,0,0.0
TXN100010,950.71,debit_card,expired_card,regular,payment_method_issue,69,36,LOW,HIGH,customer_outreach,0.532,alternative_payment,619.1,10,609.1,Ask the customer to use another payment method.,Update your payment method to continue,"Hello,

We noticed that your recent payment of
₹950.71 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,950.71
TXN100011,1168.06,wallet,network_error,regular,technical,41,28,LOW,MEDIUM,smart_retry,0.5968,smart_retry,824.74,5,819.74,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹1,168.06 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1168.06
TXN100012,437.03,upi,network_error,regular,technical,36,16,LOW,MEDIUM,smart_retry,0.7149,smart_retry,339.55,5,334.55,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹437.03 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,437.03
TXN100013,546.13,debit_card,card_declined,new,payment_decline,66,16,LOW,HIGH,alternative_payment,0.3579,smart_retry,274.56,5,269.56,Retry the payment using optimized timing.,Action needed to complete your payment,"Welcome,

We noticed that your recent payment of
₹546.13 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","welcoming, reassuring and helpful",template,1,546.13
TXN100014,754.79,upi,insufficient_funds,regular,funding_issue,82,44,MEDIUM,HIGH,payment_plan,0.3387,smart_retry,370.77,5,365.77,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹754.79 could not be completed.

There may not be enough available balance to complete the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,754.79
TXN100015,576.03,debit_card,network_error,regular,technical,42,32,LOW,MEDIUM,smart_retry,0.5276,smart_retry,382.81,5,377.81,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹576.03 could not be completed.

A temporary connection issue interrupted the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100016,1554.05,net_banking,expired_card,regular,payment_method_issue,75,52,MEDIUM,HIGH,customer_outreach,0.4182,alternative_payment,905.89,10,895.89,Ask the customer to use another payment method.,Update your payment method to continue,"Hello,

We noticed that your recent payment of
₹1,554.05 could not be completed.

The payment method appears to be expired.

We'd like to help you complete your
purchase with minimal interruption.

Please try another available payment method.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,0,0.0
TXN100017,888.1,credit_card,card_declined,regular,payment_decline,81,54,MEDIUM,URGENT,alternative_payment,0.2985,smart_retry,414.83,5,409.83,Retry the payment using optimized timing.,Action needed to complete your payment,"Hello,

We noticed that your recent payment of
₹888.10 could not be completed.

Your card issuer declined the payment.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,888.1
TXN100018,1326.76,net_banking,gateway_error,regular,technical,47,32,LOW,MEDIUM,smart_retry,0.5622,smart_retry,909.26,5,904.26,Retry the payment using optimized timing.,Your payment could not be completed,"Hello,

We noticed that your recent payment of
₹1,326.76 could not be completed.

We experienced a temporary payment processing issue.

We'd like to help you complete your
purchase with minimal interruption.

Please try the payment again in a few moments.

If you need assistance, our support team
is available to help.

Thank you,
ReviveAI Customer Support","friendly, professional and concise",template,1,1326.76
